code,name
1,Kapesníčky
2,Netkaná textilie
3,Toaletní papír
3.1,Toaletní papír - malé role
3.2,Toaletní papír - Jumbo
3.3,Toaletní papír - skládaný
5,Papírové ručníky
5.1,Papírové ručníky - v roli
5.2,Papírové ručníky skládané
5.3,Papírové ručníky v roli - Autocut
7,Drogerie
7.1,Mýdla-péče o pokožku a dezinfekce
7.2,Úklidové a mycí prostředky
7.3,Sítka - kostky do pisoáru a WC závěsy
8,Kuchyňské role
9,Obalový materiál
10,Ostatní
12,Průmyslové role
13,Zásobníky-dávkovače-stojany-koše
13.1,Zásobníky na papírové ručníky-skládané
13.2,Zásobníky na ručníky v roli - středový odvin
13.3,Zásobníky na ručníky v roli - autocut
13.4,Zásobníky na toaletní papír
13.5,Dávkovače tekutého mýdla a pěny
13.6,Koše
13.7,Stojany na průmyslové role
13.8,Ostatní - dávkovače a zásobníky
13.9,Zásobníky - náhradní díly
16,Ubrousky
17,Vyšetřovací podložky
18,Sáčky do koše
19,Odpadové pytle
20,Služby
21,Osoušeče a fény
22,Úklidová technika a mopy
22.1,Úklidová technika
22.2,Mopy
22.3,Držáky mopů
22.4,Ostatní - úklidové pomůcky
24,Víno
25,Doprava
26,VÝPRODEJ
27,Výprodej - drogerie ukončení prodeje